Upc,Department,qty,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
074804002256,Item Tax,1,n,n,Peak50/50Gln,1 gal,,n,1,1,0,n,,0,,,,,,n,,,,,,,
074804007480,Item Tax,1,n,n,Peak Winshield Wash,1 gallon,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
074806001585,Drinks NT 5,1,n,n,Hug Fruit Barrel Orange,16 Oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
074806001592,Drinks NT 5,1,n,n,Big Hug :Grape,16.00 FL OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074806001608,Drinks NT 5,1,n,n,Big Hug :Punch,16.00 FL OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074806001615,Drinks NT 5,1,n,n,Big Hug :Blue Raspberry,16.00 FL OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
074806001622,Drinks NT 5,1,n,n,Big Hug :Kiwi Strawberry,16.00 FL OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074806001691,Drinks NT 5,1,n,n,Big Hug :Citrus,16.00 FL OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
074806184103,LIQUOR,1,n,n,Daily'S Frozen Margarita,10 oz,n,n,2,0,0,n,,0,,,,,,n,,,,,,,
074806184202,LIQUOR,1,n,n,Daily'S Cocktail Strawberry Daiquiri,10 oz,n,n,5,0,0,n,,0,,,,,,n,,,,,,,
074806186107,LIQUOR,1,n,n,Blue Hawaiian Pouches,,n,n,2,1,0,n,,0,,,,,,n,,,,,,,
074806186206,LIQUOR,1,n,n,Dailys,,n,n,5,0,0,n,,0,,,,,,n,,,,,,,
074806186503,LIQUOR,1,n,n,Daily,,n,n,5,1,0,n,,0,,,,,,n,,,,,,,
074806186602,LIQUOR,1,n,n,Firework,,n,n,5,0,0,n,,0,,,,,,n,,,,,,,
074806188309,LIQUOR,1,n,n,Daily'S Frozen Peach On The Beach,,n,n,5,0,0,n,,0,,,,,,n,,,,,,,
074806189405,Drinks T5,1,n,n,Daily'S Frozen Jamaican Smile,10 oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
075019010050,Grocery,1,n,n,Honey,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
075140005000,Drinks NT 10,1,n,n,Crystal Geyser:Natural W/ Flat Cap,1.50 LT,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
075140005024,Drinks NT 5,1,n,n,Crystal Geyser:Natural,16.90 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
075140005055,Grocery,1,n,n,Crystal Geyser:Natural W/ Sport Cap,1.00 LT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
075140005123,Drinks T5,1,n,n,Crystal Geyser:Natural W/Flat Cap,1.00 LT,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
075140005154,Snacks,1,n,n,Crystal Geyser:Natural W/ Handle,1.00 GAL,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
075140065028,Drinks NT 5,1,n,n,Crystal Geyser:Natural 16.9 Oz,6.00 CT,,n,6,0,0,n,,0,,,,,,n,,,,,,,
075140245147,Drinks NT 5,1,n,n,Crystal Geyser:Natural 16.9 Oz,24.00 CT,y,n,24,0,0,n,,0,,,,,,n,,,,,,,
075140350018,Drinks NT 5,1,n,n,Crystal Geyser:Natural 16.9 Fl Oz,35.00 CT,,n,35,0,0,n,,0,,,,,,n,,,,,,,
075140700028,Grocery,1,n,n,Crystal Geyser:Natural W/ Sport Cap,23.60 FL OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
075218001965,Item Tax,1,n,n,D.D.Bean/Sons 50 Matchbooks,50.00 EA,,n,1,0,0,n,,-1,,,,,,n,,,,,,,
075353040058,Item Tax,1,n,n,Ele Tape,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
075355112135,Drinks NT 10,1,n,n,Old Orchard 100% Juice:Apple,64.00 OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
075355112258,Drinks NT 10,1,n,n,Old Orchard Healthy Balance:Apple Cranberry,64.00 FL OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
075386051144,Grocery,1,n,n,Embasa:Green Mild Diced,26.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
075390753980,Grocery,1,n,n,Jumbo:Original,6.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
075390755984,Grocery,1,n,n,Jumbo:Ranch,6.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
075656009363,Item Tax,1,n,n,Toy Super Ring,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076001374501,Item Tax,1,n,n,Candle Lite,4 ct,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076061211518,Item Tax,1,n,n,Disinfectant - Pine Scented,40.00 Oz,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076061480907,Item Tax,1,n,n,Pine Glo Antibacterial,48 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076061500018,Item Tax,1,n,n,Pinglo,50oz,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076064001048,Snacks,1,n,n,Ne-Mo'S Cake - Chocolate,3.00 Oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076064003042,Snacks,1,n,n,Ne-Mo'S Cake Banana,3 Oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076150232127,Grocery,1,n,n,Act Ll Kettle Corn,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076150232233,Grocery,1,n,n,Act Ii Butter Popcorn,2.75 Oz,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
076150232486,Grocery,1,n,n,Act Il Butter Lovers Microwave Popcorn,2.75 oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076150232493,Grocery,1,n,n,Act Ii Pop Corn,2.75 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076171101006,Item Tax,1,n,n,Little Trees Air Freshener,1,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
076171102102,Item Tax,1,n,n,Tree,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076171173089,Item Tax,1,n,n,Rose Thorn,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076171173416,Item Tax,1,n,n,Tree,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076171220110,Item Tax,1,n,n,Little Trees,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076171220554,Item Tax,1,n,n,Little Trees,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076171220899,Item Tax,1,n,n,Little Trees,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076171527257,Item Tax,1,n,n,Little Tree,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076171527318,Item Tax,1,n,n,Tree,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076171527332,Item Tax,1,n,n,Air Freshner,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183003107,Drinks NT 5,1,n,n,Snapple Kiwi Strawberry,16 0z,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183003114,Drinks NT 5,1,n,n,Snaple,16 oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183003121,Drinks NT 5,1,n,n,Snapple Mango Madness,16.00 FL OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183003138,Drinks NT 5,1,n,n,Snapple Peach Tea,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183003145,Drinks NT 5,1,n,n,Snaple,16 oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183003152,Drinks NT 5,1,n,n,Snapple Lemon,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183003176,Drinks NT 5,1,n,n,Snaple,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183003190,Drinks NT 5,1,n,n,Snaple,99,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183003282,Drinks NT 5,1,n,n,Snapple,16 oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
